LocalityName	Country	State	County	DecimalLong	DecimalLat	Elevation	Notes
Rock Creek Park	USA	District of Columbia	\N	-77.0498400000	38.9275400000	\N	\N
River Trail, Great Falls	USA	Maryland	Montgomery County	-77.2481800000	39.0014300000	\N	\N
Capital Crecent Trail	USA	District of Columbia	\N	-77.1117040000	38.9309100000	\N	\N
C & O Canal Park	USA	District of Columbia	\N	-77.0728010000	38.9048200000	\N	\N
Davies Creek	USA	Virginia	\N	\N	\N	\N	\N
1196 Penry Road, residence	USA	Ohio	Delaware County	-83.1000000000	40.3333333000	293	\N
3271 Horseshoe Road	USA	Ohio	Delaware County	-83.0364500000	40.3399500000	\N	\N
Bluff Road	USA	Louisiana	Ascension Parish	\N	\N	\N	\N
Washington National Forest	USA	Virginia	Shenandoah County	-78.3229100000	38.9365400000	277	\N
ca. Winkler Botanical Preserve	USA	Virginia	Fairfax County	-77.1206500000	38.8291000000	3	\N
Scheaffer farms bike trail, Seneca Creek State Park	USA	Maryland	\N	-77.3177800000	39.1324200000	\N	\N
Casa de Tomas Garrido, Villa Luz	Mexico	Tabasco	Tacotalpa	-92.7655600000	17.4456100000	86	\N
Cascadas de Misol-Ha	Mexico	Chiapas	Salto de Agua	-91.9990800000	17.3914000000	267	\N
Jardines de Plaza Acuario	Mexico	Veracruz-Llave	Veracruz	-96.1221410000	19.1862550000	6	\N
Bosque de Tlalpan	Mexico	Distrito Federal	\N	-99.1949170000	19.2955420000	2327	\N
Patio de Dña. Margarita Avila	Mexico	Veracruz-Llave	Veracruz	-96.1274600000	19.1787500000	13	\N
Centro Turistico Poza Azul	Mexico	Chiapas	Salto de Agua	-92.3536800000	17.5577900000	68	\N
Playa Varadero	Mexico	Tabasco	Paraíso	-93.2244700000	18.4379800000	18	\N
Puc Puggy Campground, Paynes Prairie Preserve State Park	USA	Florida	Alachua County	-82.2953300000	29.5260300000	52	\N
Silver Lake Campground, Withlacochee State Preserve	USA	Florida	Hernando County	-82.2132000000	28.5770700000	13	\N
University of Florida, Gainesville	USA	Florida	Alachua County	-82.3489600000	29.6454300000	55	\N
1.3 Km S Nobleton	USA	Florida	Hernando County	-82.2617400000	28.6328600000	28	\N
Puggy Road, Paynes Prairie State Park	USA	Florida	Alachua County	-82.2941000000	29.5280700000	46	\N
University of Florida, Gainesville	USA	Florida	Alachua County	-82.3524900000	29.6430200000	20	\N
Chacala Trail, Paynes Prairie Preserve State Park	USA	Florida	Alachua County	-82.2857400000	29.5317300000	41	\N
Holder Mine Campground, Withlacoochee State Preserve	USA	Florida	Citrus County	-82.3830000000	28.8000310000	21	\N
University of Florida, Gainesville	USA	Florida	Alachua County	-82.3608700000	29.6480500000	38	\N
Ridge Manor Trailhead, Withlacoochee State Park	USA	Florida	Hernando County	-82.2163400000	28.5185800000	29	\N
Orillas de la laguna El Espejo	Mexico	Tabasco	Centro	-92.9665800000	17.9803100000	14	\N
Patio de Dña. Margarita Avila	Mexico	Veracruz-Llave	Veracruz	-96.1274600000	19.1787500000	13	\N
Patio de Dña. Alba Castillo	Mexico	Veracruz-Llave	Las Choapas	-94.0920900000	17.9336300000	11	\N
Jardines de Plaza Acuario	Mexico	Veracruz-Llave	Veracruz	-96.1221410000	19.1862550000	6	\N
